Name,Tag,Server,Region,puuid,Key_ID
Slezynen,kebab,euw,europe,Sqk4PFT0SI6YzIcjdNn_32YumTEppcz8KVB5qL-B2j61o1cU5kbl0uyleXljrJIShBIFOM5VSME4nQ,9
Femboy Agitprop,meow,na,americas,W0_zyhnTVA5s91MX7dcx6I7yqMcg76TsCpb8wPsM5fktzlpC3Mhw6kSCGi0Owbukb8-kjMZCytBpXA,9
Kania,krkr,euw,europe,bzEphVe2twVQ6bGp1KwMqf0-rzVyuLpQ_pgkuPRPy7YwYSQ3EWfGOiAfQistHnoQrFJUZUeuA2laUg,9
amethyst,trans,lan,americas,Oc_0cKSfnVgrUn5GoN9eJ3MNn0Wwm_0ft8SRio_3yOwDfu-lKDWzg3FLRyXeDr7vVRh7Q3ntxL4L8w,9
ikun ikun,KR1,kr,asia,JuGXJGcOq8DatXhea6OKySl0IMJCZ5KuerDn59KjRt5WR4DhfT_pOrSqd8_MzQc5mmmJ2ijWCj5jWw,9
Zanzarah,1996,euw,europe,S0HnJ2A3gEZ3h1aZ7VvUBm1uj3_twhpSBmDdHMPgYczxHWEbVMpcWd0d1_qDae1Mf4GSDiS2hVZ-ww,9
pepi,supp,na,americas,Mo2zRtJHbqLAn1WZI1mo4NHEaHvBkM7Nmu46TwoSfSnOVgdhvq7PgJgGOw2T3gmmYg8I9LCNRXAzJA,9
oKyler1,NA1,na,americas,bABZwDi5vgxNNuQE3Ra-uSGWASyo_WmU5l5GZabHVb5fS8WXi2Q-4UOf9k6pOXUrWTtUbcmA-rLXCw,9
Carnage,KR08,kr,asia,LBHDqBSrRlFFfytYvd4PyoOTIaPuAEuD3fmPVHiwKfcmA--2KafeR_jXiTEpLt3d3EMzAU8Qaeq3Uw,9
Haukrog,EUW,euw,europe,vXSOqHgppr1F0nxWX7MxQqWZEFKWsSXjhHbzM3igc1sZ-EGSfdmH-JkdfqMgSWag4ymie1k1LoU_dg,9
T1 Painter,KR33,kr,asia,T9oe9soTmh_D7iYOhrY5H-T0CpJrZ9yJvGmpS-7Uq0YnwNqc9Gdml_RiyqT0nIFatPhEYhkMFfix-w,9
Bukayo Saka,COYGB,euw,europe,bBr2YKwsXVufHvRnL7ZpSvL9hpPXfrZXVpk3lIaiA-nZGPsgvMmhsJrfuiTOM_kWi9KL1FtVN30dMg,9
