Name,Tag,Server,Region,puuid,Key_ID
ELE A EL DOMINIO,LAS1,las,americas,Vb1NTAn7M8kRVX_zDE3CBhxMqR2Qwi_t4OOZABUFfO6fZhapqDk59eR104iFn8amtpde1iaCYwGiWw,3
2oapmanwun,CICKI,eune,europe,G1htSfLXq8sgt-CCv0QrhaIgiUMG6BKZzNeYN4S7fOFFGOzUQ6xhIOdk3EwiXhz9qscj7vfDV-4Utw,3
Yellena,tsung,euw,europe,kJiVqlTC9pr_svjtIhoHg_QHYsG2Vy3FXOAOVv-xAa-GLrwxu0HwZpz3jEBKegKPiAeCNVsvIP1oSQ,3
Remtiz,rmtiz,br,americas,Zn5XqnUU3icSCadZ30GEOBgbxDXWYOILZGlbt_aiynFgAgh04iCTsCjLho51A3kp2o-QyUFP1eve4w,3
Kenshi Kaya,444,tr,europe,6A573kG8bgKKPUmxHeHr0N_tOaaWrQXcX66zE8vKghm1PCVxZJMGf4urjTiiLFGnWU6Yn1ZK7hwFow,3
Frosted Cupcake,turd,na,americas,P71kts8SarOU06rrmq21uz7ACZe3hzpRIh9QBUtR8o5vPcUFNw1DLqyy_hfEgq6cejYZo-WbWuabkg,3
prometheus,nero,tr,europe,_bBfS_pSBTjTFatCLN7eFgcc1fZMltAQX2II6cr2UkG5ZH0uFUKSqhrM1hAezwoezp7AjniYOkn6jw,3
Zequilla,NA1,na,americas,YWqMpXjF1Uq8FEBdsFV6mWNDQiECU4NHejExNMZc1R6unqxH7Fclejp3AxtAn8RoDRxlL25n36uoPA,3
EUNE TAKEOVER,KING,euw,europe,3AYhwQqtlAd9mk__ud4Wnn1Ur4CKnLZDy3nnvbaezPBPACU_5tO_UQB6V_3XnK4qnnkXTDhbP63u5w,3
SuperMalveillant,EUW,euw,europe,Y3JaToA9tm804b0sjYoB4itR-Az7LjCcztjtchG8YqdfRY_5mMWwbXRNPQpYi4Dx0-wrdvNFpJGabA,3
spy the man,KR1,kr,asia,wlxzlLw1TjFV-H73sUZRKL2va-tk4h14rj3BMyr-sfcvERYzD2xpzyazwJL_IYY6DAy5lgWQ3vMtTA,3
BleachedBaboon,wuff,euw,europe,mr36tB1_I6GZUb575_5PX51df9b7N-dYqyPIB1yX3snU347X0TaExwLiYpRnhVxr73EduhGd8OaeUQ,3
meowmonster,EUW,euw,europe,Jj9EEvTcdHwskmz_e2ZaHy2wyaHM16brqqYJiayyO0ix7d0nvDcNk3JP1oGheJiYQpqjC-tEAilLOg,3
Riker,FF15,br,americas,G0LM5BsyMtlpvozpp3ihZpODvRsl_jKXSFadidMaaKIvLAiGdJNKJusxYQkEP5MIFad7xOqxuRVWHA,3
DFG,1v9,na,americas,czDgrrqnX4cGiSK7MngXBKxV8ZiJEmiaKtU-wAKMFZBTfuSDWKmxC7pcHSPCnT0FH7gNZFQhOmfzSQ,3
Friigo,001,euw,europe,U94_xb1SeOXGiGKCzEO3fd_Oo3jOFAkvGKE_6Qssi9JKyV-9XiMwGec0CUNrlPKKqKHXE9MnSx9FHA,3
Banned,Euw2,euw,europe,XsLlSIqDD_BtDYWsqFLaUKrRuU1s07UagIYwcrnfPPeduoqzVIRs_3ATsVvK6vR9Zaos6ZxYVUcbdw,3
InvadeMeToWin,jungl,las,americas,Thvm7TyeRfoQrt3Uc7tKrArNeYsMFzxwWsrCy-1I7GnqSsO3l097jrvEBotFZt3Ug_bDA8An032Yzw,3
leap,kzx,br,americas,1iwHMUT87hgkA6ZPJ17Gn2L6sRiufrGnkl9Ow6EH33PrZ0_mwVEu55BwxsmIr0y0u6gnCJKVAH8Anw,3
Mango Trolo,YOYO,lan,americas,DafUDQmaEeotRPvAz2vI3rRaZ5vBMhPriaygI1I7LdfytVwsn22lYnQ_0CUlIE_8Gheszff50vY-WA,3
QQQW1N,EUW,euw,europe,d4sF4ePrMGQyCB_3Afqa0azsz7LfmZHKBpbrstHQ9NRRe1cBJejBvucQ_HWcFZ-tuBsxlIlD0hK7jg,3
Theatrics,NA11,na,americas,_zeF0lFJSpy4mxfxgwTPoV0lqZoRl23xNIKHJtKf5ROBOC1oqhfZhPkaoFxAM5ydg0Kvi-V_XR0W4g,3
finita v2,rus,euw,europe,sMIfcc5UWLhbtGL4zEQJWdDwmFWxTZROs5d9lGyIkIaQXuYLZeiqWPFapcqTIARrUWA-85XpV_1rEw,3
hfjklz,real,eune,europe,wsmPvZ8nfkxSE4cOVXkjReYQPAr4eB6oxBS5-Lf9hdgJFmEM7EclExUA3d5pgXGep1wnQAHXP25stQ,3
perfect blue,art,br,americas,n9cvSVTwClClEHpjZXNX3afmerC2PtNo--yVsnDRN-1AuZh9TVoNv8Ih55OYzp1b8pq_wZs2QaZe9w,3
axioma,171,br,americas,06qY5Gtg2Wt-_S8F1dG4ku0-m9fzOPtu41oEJQPKHz2Ek2PLX5WVSvlMy52qcjHOCykL8MovcafhCA,3
gdfsgredgrey4e5y,BR1,br,americas,PasREeN88Wu-knhlfmn4jxzU0t3WeAFr_IszbMBeUhk0RU9hPX6I_vhfx9ve-oz9OHkb5J7UxlO-nw,3
Get Better,Yubs,lan,americas,C_FTlj21Gd3vdNv8AnllpkoT6QxVMfRfOZX2U22EU82v9gFerPBfFnN-vXrhweAp9tvkuVH3JujUEg,3
Gileshelly,8167,euw,europe,9ntwRqMaQs_7B22rjdd0wG46vMBw4FO1HCpj6VE83Ihv5P1N9Zn96mafeaDcMsof8BKzRWUIT6ZobA,3
1AlluK,LAS,las,americas,4tdqkcT3REs7lb5jZSOBWPGyEBgiCJEwnv_06QesiCPqpPpLQ8eiih8uujoZXlw4fCiv_7Q5Sc2O7A,3
